word,freq
orçamentárias,4.0
órgão,4.0
outra,4.0
pais,4.0
par,4.0
pastores,4.0
peixoto,4.0
permanentes,4.0
pires,4.0
pluviais,4.0
pmcg,4.0
pontes,4.0
popular,4.0
prestação,4.0
primeira,4.0
privado,4.0
procon,4.0
proprietário,4.0
próximo,4.0
publicidade,4.0
quadro,4.0
queiroz,4.0
raimundo,4.0
realizadas,4.0
recémnascidos,4.0
recipientes,4.0
regional,4.0
registro,4.0
regras,4.0
regularmente,4.0
residenciais,4.0
responsável,4.0
rômulo,4.0
roteiro,4.0
saneamento,4.0
sangue,4.0
sebastião,4.0
semáforos,4.0
senador,4.0
sesquicentenária,4.0
severina,4.0
shopping,4.0
shows,4.0
situação,4.0
sobrinho,4.0
souto,4.0
sustentável,4.0
taxas,4.0
táxis,4.0
terminal,4.0
todo,4.0
tratar,4.0
turismo,4.0
umas,4.0
união,4.0
validade,4.0
vereadora,4.0
vila,4.0
vítimas,4.0
abrigos,3.0
acima,3.0
adauto,3.0
adequação,3.0
adolescente,3.0
adriana,3.0
aedes,3.0
aegypti,3.0
alexandre,3.0
alice,3.0
alimentação,3.0
alimentar,3.0
alvará,3.0
álvaro,3.0
amélia,3.0
ampliação,3.0
andré,3.0
anualmente,3.0
anúncios,3.0
após,3.0
aprovação,3.0
artista,3.0
atenção,3.0
atender,3.0
atividades,3.0
atletas,3.0
ato,3.0
auditiva,3.0
auditivos,3.0
autistas,3.0
automático,3.0
autorizados,3.0
avenidas,3.0
baixa,3.0
bancários,3.0
bandas,3.0
básicas,3.0
bebida,3.0
bebidas,3.0
beltrão,3.0
benício,3.0
bicicletários,3.0
braile,3.0
brandão,3.0
brasileira,3.0
brasileiro,3.0
cadastrados,3.0
caetano,3.0
caixa,3.0
cargo,3.0
carrinhos,3.0
casos,3.0
cegos,3.0
centenário,3.0
cestos,3.0
céu,3.0
cie,3.0
cinematográficas,3.0
clínicas,3.0
comandante,3.0
comemoração,3.0
comemorado,3.0
complementares,3.0
composição,3.0
compreendidos,3.0
comprovadamente,3.0
comunicação,3.0
comunitário,3.0
concessionária,3.0
congregacional,3.0
contratar,3.0
contribuição,3.0
criado,3.0
critérios,3.0
crônica,3.0
culturais,3.0
cursos,3.0
dados,3.0
daniel,3.0
débitos,3.0
delimitação,3.0
dentro,3.0
dependência,3.0
destinação,3.0
destinada,3.0
determinar,3.0
diária,3.0
diniz,3.0
discriminação,3.0
disponibilizar,3.0
disque,3.0
divulgarem,3.0
documentos,3.0
doutora,3.0
drogarias,3.0
econômica,3.0
embalagens,3.0
empregos,3.0
engenharia,3.0
engenheiro,3.0
entrega,3.0
equipes,3.0
especifíca,3.0
espetáculos,3.0
esportivas,3.0
estabelecendo,3.0
estadual,3.0
etária,3.0
exame,3.0
exigência,3.0
faixa,3.0
faixas,3.0
familiar,3.0
feiras,3.0
felipe,3.0
fim,3.0
fimus,3.0
financeiras,3.0
fleury,3.0
folga,3.0
formação,3.0
frança,3.0
frederico,3.0
frente,3.0
funcional,3.0
gadelha,3.0
genival,3.0
geral,3.0
gilson,3.0
governamentais,3.0
grandeparaíba,3.0
grane,3.0
gratificação,3.0
hermano,3.0
hilton,3.0
hino,3.0
história,3.0
histórico,3.0
homenagem,3.0
homens,3.0
honorária,3.0
horas,3.0
idosas,3.0
igual,3.0
iluminação,3.0
implantar,3.0
implementação,3.0
inaugurações,3.0
incetivos,3.0
informativo,3.0
iniciação,3.0
iniciativa,3.0
inominado,3.0
inominados,3.0
