word,freq
consumo,12.0
convocação,12.0
correios,12.0
daniel,12.0
denúncias,12.0
dep,12.0
desembargador,12.0
dona,12.0
doutora,12.0
escolares,12.0
europa,12.0
forró,12.0
gadelha,12.0
greve,12.0
habib,12.0
honra,12.0
horários,12.0
imposto,12.0
indicando,12.0
instalados,12.0
isenção,12.0
kubistchek,12.0
lateral,12.0
lavanderia,12.0
mães,12.0
médicos,12.0
motoristas,12.0
noite,12.0
nunes,12.0
ocorrerá,12.0
pagamento,12.0
paraíbauepb,12.0
paróquia,12.0
partir,12.0
passa,12.0
peçanha,12.0
pedra,12.0
política,12.0
populares,12.0
porteira,12.0
postos,12.0
prédios,12.0
procuradoria,12.0
próxima,12.0
recolhimento,12.0
recolocação,12.0
registro,12.0
rota,12.0
samu,12.0
severina,12.0
siqueira,12.0
supermercado,12.0
tenente,12.0
tomé,12.0
trãnsito,12.0
trindade,12.0
virtude,12.0
administrativa,11.0
aeroporto,11.0
agricultores,11.0
alusão,11.0
aprovação,11.0
arrojado,11.0
básico,11.0
césar,11.0
chaves,11.0
comemorações,11.0
complexo,11.0
controle,11.0
cristã,11.0
deficientes,11.0
denominada,11.0
desconto,11.0
destino,11.0
direção,11.0
dnit,11.0
domingos,11.0
duplicação,11.0
edésio,11.0
emergência,11.0
envio,11.0
estrada,11.0
evaldo,11.0
fazer,11.0
festival,11.0
fica,11.0
finalização,11.0
formação,11.0
funcionava,11.0
gás,11.0
gerente,11.0
homenagear,11.0
horas,11.0
identificação,11.0
janúncio,11.0
joel,11.0
jogos,11.0
juvêncio,11.0
levantamento,11.0
mesma,11.0
montenegro,11.0
municípiosecob,11.0
navarro,11.0
ocorre,11.0
orgânica,11.0
paiva,11.0
paraibano,11.0
poluição,11.0
pontes,11.0
promotoria,11.0
publicado,11.0
quais,11.0
rangel,11.0
referidas,11.0
regime,11.0
repúdio,11.0
revisão,11.0
risco,11.0
sabino,11.0
santana,11.0
solicitando,11.0
sólidos,11.0
sugestão,11.0
telefonia,11.0
torno,11.0
toscano,11.0
transmissor,11.0
upa,11.0
victor,11.0
visto,11.0
zacarias,11.0
asfaltamento,10.0
aulas,10.0
bancada,10.0
básicas,10.0
basílio,10.0
boca,10.0
clara,10.0
coloque,10.0
coluna,10.0
compreende,10.0
comunidades,10.0
concessão,10.0
construído,10.0
coordenador,10.0
cozinha,10.0
determinem,10.0
diretoria,10.0
doenças,10.0
dulce,10.0
eleição,10.0
especializada,10.0
estádio,10.0
estadosuplan,10.0
estudantes,10.0
facisa,10.0
farmacêutico,10.0
fórum,10.0
gerência,10.0
grandesttp,10.0
habitacionais,10.0
hilton,10.0
honório,10.0
inciso,10.0
indicativas,10.0
insere,10.0
itinerante,10.0
jovens,10.0
lafayete,10.0
legislativo,10.0
leste,10.0
liberação,10.0
lisboa,10.0
machado,10.0
mãe,10.0
manzuá,10.0
margéns,10.0
matagal,10.0
mato,10.0
mensagem,10.0
mesmos,10.0
mil,10.0
modelo,10.0
mulheres,10.0
nassau,10.0
necessidades,10.0
nelson,10.0
nely,10.0
nota,10.0
noturno,10.0
noujaim,10.0
ocorrida,10.0
odon,10.0
ostensivas,10.0
osvaldo,10.0
panificadora,10.0
paralelelpípedo,10.0
paris,10.0
pdoer,10.0
percurso,10.0
pertencente,10.0
pois,10.0
possam,10.0
preventiva,10.0
processo,10.0
realizadas,10.0
reestruturação,10.0
rita,10.0
samuel,10.0
servidor,10.0
situadas,10.0
sonora,10.0
superior,10.0
targino,10.0
tema,10.0
tempo,10.0
tráfego,10.0
tre,10.0
treinamento,10.0
umburanas,10.0
único,10.0
usuários,10.0
valor,10.0
vazamento,10.0
vigolvino,10.0
vilarim,10.0
zero,10.0
adequação,9.0
adolescentes,9.0
ainda,9.0
alimentação,9.0
alimentos,9.0
aluízio,9.0
amigos,9.0
artur,9.0
asfora,9.0
assuntos,9.0
atualização,9.0
brigadeiro,9.0
calendário,9.0
campeonato,9.0
canteiros,9.0
capinagem,9.0
capitão,9.0
caridade,9.0
carolino,9.0
casos,9.0
catarina,9.0
católica,9.0
cel,9.0
coletores,9.0
combater,9.0
comemorados,9.0
compra,9.0
concedido,9.0
constatar,9.0
cordeiro,9.0
couto,9.0
decreto,9.0
desenvolva,9.0
desse,9.0
destinado,9.0
detran,9.0
digital,9.0
diocese,9.0
duas,9.0
dunda,9.0
educativa,9.0
eeefm,9.0
encontra,9.0
energia,9.0
estabelecimentos,9.0
estradas,9.0
estratégicos,9.0
etc,9.0
eva,9.0
exclusiva,9.0
exvereador,9.0
ficam,9.0
final,9.0
físicas,9.0
foco,9.0
freira,9.0
galerias,9.0
grandeufcg,9.0
hoje,9.0
hospitais,9.0
imóvel,9.0
incluindo,9.0
inibir,9.0
inspeção,9.0
integrado,9.0
interligação,9.0
irmã,9.0
isaac,9.0
isea,9.0
jovem,9.0
junino,9.0
juvino,9.0
louvor,9.0
lugar,9.0
malheiros,9.0
médica,9.0
medida,9.0
melhoramento,9.0
melhorar,9.0
menores,9.0
militares,9.0
modernização,9.0
moreira,9.0
mototaxistas,9.0
multilagos,9.0
museu,9.0
nenzinha,9.0
norte,9.0
novas,9.0
oferta,9.0
padrão,9.0
particulares,9.0
páscoa,9.0
patrimônio,9.0
piso,9.0
portadores,9.0
primeiros,9.0
prof,9.0
psf,9.0
quadro,9.0
queimadas,9.0
rainha,9.0
riachuelo,9.0
rurais,9.0
saneamento,9.0
segunda,9.0
sine,9.0
solução,9.0
sosur,9.0
vacinação,9.0
várzea,9.0
velórios,9.0
venezuela,9.0
verde,9.0
vírus,9.0
wilson,9.0
abaixo,8.0
abraão,8.0
abusivos,8.0
acessos,8.0
acordo,8.0
adalgisa,8.0
alpargatas,8.0
alta,8.0
ambientesesuma,8.0
ampla,8.0
animal,8.0
antunes,8.0
bar,8.0
benevides,8.0
benício,8.0
braga,8.0
cada,8.0
câncer,8.0
capitólio,8.0
cdl,8.0
cemitérios,8.0
claudino,8.0
clubes,8.0
codecom,8.0
colocado,8.0
comunitário,8.0
condolência,8.0
construir,8.0
conta,8.0
convivência,8.0
corta,8.0
crack,8.0
cristina,8.0
cruzamentos,8.0
demandas,8.0
denominado,8.0
destaque,8.0
disponibilidade,8.0
disposto,8.0
elísio,8.0
elza,8.0
encaminhada,8.0
engenharia,8.0
espaços,8.0
especiais,8.0
esperança,8.0
estacionamentos,8.0
estruturação,8.0
evanilson,8.0
execelente,8.0
execelentíssimo,8.0
fazem,8.0
feiras,8.0
fome,8.0
fomento,8.0
força,8.0
formulados,8.0
fornecimento,8.0
fortalecimento,8.0
funciona,8.0
fundo,8.0
ginástica,8.0
gregório,8.0
guia,8.0
heleno,8.0
humano,8.0
inovação,8.0
insegurança,8.0
integrada,8.0
intervenção,8.0
iptu,8.0
joseph,8.0
juninas,8.0
lazersejel,8.0
legislação,8.0
letras,8.0
lindolfo,8.0
lino,8.0
localidade,8.0
logradouros,8.0
lojas,8.0
luciano,8.0
luís,8.0
magnífico,8.0
mamede,8.0
máquina,8.0
materno,8.0
matias,8.0
maxxi,8.0
meira,8.0
mercadorias,8.0
meteorologia,8.0
miranda,8.0
mista,8.0
motocicletas,8.0
mototáxi,8.0
mudança,8.0
necessidade,8.0
nome,8.0
nonato,8.0
números,8.0
ocioso,8.0
ocupação,8.0
online,8.0
organizada,8.0
oswaldo,8.0
passarela,8.0
pedo,8.0
peixes,8.0
possibilitar,8.0
prazo,8.0
primeira,8.0
procedam,8.0
projetada,8.0
prolongamento,8.0
prorrogação,8.0
provimento,8.0
qualificação,8.0
referido,8.0
reforço,8.0
registrada,8.0
regularização,8.0
reitoria,8.0
respectivos,8.0
restruturação,8.0
rodovia,8.0
rodoviária,8.0
rodrigo,8.0
salviano,8.0
santina,8.0
seca,8.0
simples,8.0
sinal,8.0
sinhazinha,8.0
solicitado,8.0
sucesso,8.0
sustentável,8.0
tais,8.0
telefone,8.0
terceira,8.0
turísticos,8.0
universal,8.0
veículo,8.0
ver,8.0
vinte,8.0
william,8.0
academias,7.0
adotem,7.0
adutora,7.0
ageu,7.0
alencar,7.0
alzira,7.0
amaro,7.0
amigão,7.0
amigo,7.0
apresentado,7.0
artesão,7.0
assim,7.0
atacado,7.0
atividade,7.0
auxiliar,7.0
ávores,7.0
baldios,7.0
benedito,7.0
biométrico,7.0
borges,7.0
bozano,7.0
caixas,7.0
camilo,7.0
capacidade,7.0
cesrei,7.0
ciclovias,7.0
cojunto,7.0
colaço,7.0
colocar,7.0
comerciais,7.0
comercialização,7.0
comércio,7.0
